Customer_ID,Campaign_Name,Campaign_Channel,Funnel_Stage,Date,Impressions,Clicks,Website_Visits,Leads_Generated,Sign_Ups,Add_To_Cart,Purchases,Revenue,Ad_Spend,Cost_Per_Click,Conversion_Rate,ROI,Customer_Segment,Device,Region
CUST1000,PPC Ads,YouTube,Conversion,23-11-2024,16295,1544,1339,220,48,23,10,2060.23,3911.6,2.53,0.65,-47.33,Premium,Tablet,West
CUST1001,Referral Program,YouTube,Intent,27-02-2024,1360,58,40,12,2,1,0,0.0,2551.76,44.0,0.0,-100.0,New,Mobile,West
CUST1002,SEO,Instagram,Consideration,13-01-2024,38658,937,840,237,99,62,23,10397.83,1851.82,1.98,2.45,461.49,Premium,Tablet,East
CUST1003,PPC Ads,Email,Consideration,20-05-2024,45232,1420,1193,224,84,49,21,8201.66,1459.39,1.03,1.48,461.99,Premium,Mobile,South
CUST1004,Social Media,YouTube,Conversion,05-05-2024,11784,523,305,42,22,7,2,398.8,3249.73,6.21,0.38,-87.73,Premium,Desktop,North
CUST1005,PPC Ads,Facebook,Intent,24-04-2024,6765,219,191,56,14,8,3,1155.0,3494.73,15.96,1.37,-66.95,Returning,Tablet,West
CUST1006,Referral Program,Google,Interest,12-03-2024,17350,626,342,109,22,12,2,236.78,4367.74,6.98,0.32,-94.58,Returning,Tablet,North
CUST1007,Social Media,Email,Conversion,22-02-2024,37694,1881,1555,302,114,65,27,2933.36,1777.44,0.94,1.44,65.03,New,Mobile,South
CUST1008,PPC Ads,YouTube,Consideration,12-12-2024,22462,769,501,147,43,19,8,1644.26,3871.88,5.03,1.04,-57.53,Premium,Tablet,North
CUST1009,SEO,YouTube,Intent,06-10-2024,47691,6464,5502,1202,264,172,49,20259.84,2850.64,0.44,0.76,610.71,Returning,Mobile,East
CUST1010,Social Media,Email,Awareness,14-02-2024,44631,947,802,251,122,71,27,4343.13,4425.9,4.67,2.85,-1.87,New,Tablet,West
CUST1011,Social Media,Google,Intent,29-10-2024,16523,1378,1133,181,44,15,4,313.86,2686.28,1.95,0.29,-88.32,Premium,Desktop,West
CUST1012,SEO,Instagram,Intent,04-08-2024,41590,2805,2288,839,371,171,83,9069.35,2636.39,0.94,2.96,244.01,New,Desktop,East
CUST1013,Social Media,Facebook,Consideration,17-01-2024,2185,322,200,37,11,7,1,436.44,2931.6,9.1,0.31,-85.11,New,Desktop,East
CUST1014,PPC Ads,YouTube,Consideration,16-01-2024,1269,32,17,3,0,0,0,0.0,3771.65,117.86,0.0,-100.0,New,Tablet,West
CUST1015,Social Media,Google,Interest,17-02-2024,2933,192,126,14,4,2,0,0.0,4826.98,25.14,0.0,-100.0,New,Tablet,West
CUST1016,PPC Ads,Facebook,Interest,21-04-2024,5811,846,481,64,33,18,7,2099.18,460.46,0.54,0.83,355.89,New,Desktop,West
CUST1017,SEO,Email,Conversion,29-04-2024,38319,5026,3910,996,355,196,49,14083.13,361.83,0.07,0.97,3792.2,New,Desktop,South
CUST1018,Email Campaign,YouTube,Awareness,15-09-2024,39688,4936,3151,568,284,115,31,10693.33,4694.0,0.95,0.63,127.81,New,Mobile,South
CUST1019,SEO,Instagram,Interest,04-11-2024,18068,833,741,259,64,25,8,1239.48,2696.39,3.24,0.96,-54.03,Premium,Mobile,South
CUST1020,PPC Ads,Email,Consideration,14-01-2024,20269,687,519,54,27,18,8,3511.85,3113.02,4.53,1.16,12.81,Premium,Desktop,North
